scenario,query_id,role,strategy,policy_version,authorized_count,authorized_selectivity,lid,lid_scale_instability,relative_contrast,radius_expansion,policy_churn,embedding_drift,risk_score,recall_at_k,evidence_sufficient,unauthorized_candidates,unauthorized_context,shortfall,latency_ms,effort_proxy,selected,serving_cost,recall_target_met,evidence_basis,evidence_query_id,authorized_solution_exists,authorized_evidence_bundle_ids,complete_evidence_bundle_ids,answered,evidence_supported_emission,false_permit,false_denial
aligned,17,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,8.060404911773983,0.24473652955615727,15.694217106802133,1.1376962356194984,0.0,0.0,0.1584905219093047,1.0,,0,0,0,0.038125,10,False,,True,unavailable,,,(),(),,,,
aligned,18,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,8.970561118840603,0.221641285087848,12.167668676128727,1.1427329037433744,0.0,0.0,0.15925853791457859,0.9,,0,0,0,0.039584,128,True,,True,unavailable,,,(),(),,,,
aligned,18,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,8.970561118840603,0.221641285087848,12.167668676128727,1.1427329037433744,0.0,0.0,0.15925853791457859,1.0,,0,0,0,0.0875,512,False,,True,unavailable,,,(),(),,,,
aligned,18,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,8.970561118840603,0.221641285087848,12.167668676128727,1.1427329037433744,0.0,0.0,0.15925853791457859,1.0,,0,0,0,0.04075,755,False,,True,unavailable,,,(),(),,,,
aligned,18,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,8.970561118840603,0.221641285087848,12.167668676128727,1.1427329037433744,0.0,0.0,0.15925853791457859,0.8,,0,0,0,0.038084,10,False,,False,unavailable,,,(),(),,,,
aligned,19,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,8.531529975777035,0.22189684419092764,11.476798857659569,1.1528073387398037,0.0,0.0,0.15767793059151686,1.0,,0,0,0,0.037541,128,True,,True,unavailable,,,(),(),,,,
aligned,19,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,8.531529975777035,0.22189684419092764,11.476798857659569,1.1528073387398037,0.0,0.0,0.15767793059151686,1.0,,0,0,0,0.088541,512,False,,True,unavailable,,,(),(),,,,
aligned,19,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,8.531529975777035,0.22189684419092764,11.476798857659569,1.1528073387398037,0.0,0.0,0.15767793059151686,1.0,,0,0,0,0.037959,755,False,,True,unavailable,,,(),(),,,,
aligned,19,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,8.531529975777035,0.22189684419092764,11.476798857659569,1.1528073387398037,0.0,0.0,0.15767793059151686,1.0,,0,0,0,0.035916,10,False,,True,unavailable,,,(),(),,,,
aligned,20,role-1,hnsw-low,aligned-v1,748,0.31166666666666665,8.442520356324726,0.2269813012159114,8.781329463418077,1.1366782875277965,0.0,0.0,0.16052296074386208,0.8,,0,0,0,0.04375,128,True,,False,unavailable,,,(),(),,,,
